date, pm25, pm10, o3, no2, so2, co
2018/6/17, , 9, 23, 8, 2, 
2018/6/18, , 11, 25, 6, 3, 
2018/6/19, , 11, 28, 6, 2, 
2018/6/20, , 18, 30, 4, 2, 
2018/6/21, , 20, 33, 5, 2, 
2018/6/22, , 18, 35, 7, 3, 
2018/6/23, , 19, 40, 8, 3, 
2018/6/24, , 23, 40, 9, 3, 
2018/6/25, , 19, 43, 8, 3, 
2018/6/26, , 18, 32, 5, 2, 
2018/6/27, , 22, 26, 4, 2, 
2018/6/28, , 14, 31, 6, 2, 
2018/6/29, , 13, 40, 7, 2, 
2018/6/30, , 17, 33, 2, 2, 
2018/1/1, , 16, 25, 13, 1, 
2018/1/2, , 12, 19, 9, 1, 
2018/1/3, , 8, 16, 11, 5, 
2018/1/4, , 8, 25, 11, 1, 
2018/1/5, , 5, 27, 10, , 
2018/1/6, , 6, 21, 13, 1, 
2018/1/7, , 8, 14, 14, 2, 
2018/1/8, , 11, 26, 5, 1, 
2018/1/9, , 8, 27, 6, 1, 
2018/1/10, , 6, 26, 12, 2, 
2018/1/11, , 5, 13, 21, 2, 
2018/1/12, , 11, 25, 9, 2, 
2018/1/13, , 6, 23, 14, 2, 
2018/1/14, , 5, 15, 22, 4, 
2018/1/15, , 7, 18, 19, 4, 
2018/1/16, , 11, 33, 5, 1, 
2018/1/17, , 20, 25, 13, 6, 
2018/1/18, , 19, 31, 10, 2, 
2018/1/19, , 10, 27, 10, 2, 
2018/1/20, , 13, 24, 3, 1, 
2018/1/21, , 9, 18, 12, 2, 
2018/1/22, , 18, 19, 16, 2, 
2018/1/23, , 17, 16, 14, 2, 
2018/1/24, , 12, 26, 11, 2, 
2018/1/25, , 10, 32, 5, 1, 
2018/1/26, , 8, 27, 11, 2, 
2018/1/27, , 11, 21, 12, 2, 
2018/1/28, , 10, 13, 16, 2, 
2018/1/29, , 15, 11, 17, 2, 
2018/1/30, , 22, 18, 14, 2, 
2018/1/31, , 23, 30, 11, 1, 
2018/2/1, , 7, 24, 16, 2, 
2018/2/2, , 7, 33, 7, 2, 
2018/2/3, , 5, 31, 9, 2, 
2018/2/4, , 9, 18, 15, 2, 
