date, pm25, pm10, o3, no2, so2, co
2020/9/1, 37, 17, 27, 3, , 1
2020/9/2, 31, 23, 35, 11, , 1
2020/9/3, 49, 33, 36, 8, , 1
2020/9/4, 60, 24, 26, 4, , 
2020/9/5, 49, 9, 25, 1, , 1
2020/9/6, 17, 17, 24, 4, , 1
2020/9/7, 30, 17, 35, 5, , 1
2020/9/8, 28, 25, 39, 9, , 1
2020/9/9, 49, 28, 43, 9, , 1
2020/9/10, 62, 38, 41, 14, , 1
2020/9/11, 78, 25, 42, 8, , 1
2020/9/12, 62, 27, 48, 4, , 1
2020/9/13, 52, 30, 20, 8, , 1
2020/9/14, 56, 17, 18, 3, , 
2020/9/15, 39, 21, 25, 6, , 1
2020/9/16, 41, 21, 20, 7, , 1
2020/9/17, 46, 23, 21, 5, , 1
2020/9/18, 44, , 22, 2, , 1
2020/9/19, 21, , 27, 1, , 1
2020/9/20, 16, 18, 26, 3, , 1
2020/9/21, 31, 16, 24, 3, , 2
2020/9/22, 31, 12, 21, 4, , 72
2020/9/23, 17, 16, 26, , , 1
2020/9/24, 25, 24, 23, 4, , 1
2020/9/25, 33, 14, 20, 4, , 1
2020/9/28, 68, 23, 20, 10, 1, 1
2020/9/29, 50, 21, 23, 7, 1, 1
2020/9/30, 43, 13, 21, 4, 1, 1
2020/4/1, 33, 12, 28, 2, 1, 1
2020/4/2, 30, 11, 29, 2, 1, 1
2020/4/3, 53, 22, 35, 1, 1, 1
2020/4/4, 38, 16, 31, 2, 1, 1
2020/4/5, 33, 12, 38, , 5, 1
2020/4/6, 32, 14, 15, 3, , 1
2020/4/7, 35, 17, 21, 4, , 1
2020/4/8, 36, 11, 14, , , 1
2020/4/9, 28, 6, 22, , , 
2020/4/10, 10, 8, 20, , , 1
2020/4/11, 10, 12, 28, , , 1
2020/4/12, 31, 16, 27, 2, 1, 1
2020/4/13, 32, 15, 22, 3, 1, 1
2020/4/14, 35, 12, 29, 3, 1, 1
2020/4/15, 25, 13, 28, 1, 1, 1
2020/4/16, 22, 14, 28, , , 1
2020/4/17, 21, 16, 29, , , 1
2020/4/18, 28, 14, 32, , , 1
2020/4/19, 29, 12, 25, 2, , 1
2020/4/20, 36, 17, 29, 2, 1, 1
2020/4/21, 46, 26, 29, 2, , 1
2020/4/22, 53, 27, 32, 4, , 1
2020/4/23, 57, 34, 29, 4, 1, 1
2020/4/24, 65, 24, 32, , 1, 1
2020/4/25, 47, 22, 35, , 1, 1
