date, pm25, pm10, o3, no2, so2, co
2019/4/2, 63, 17, 34, 18, 2, 
2019/4/3, 27, 8, 34, 17, 2, 
2019/4/4, 24, 10, 34, 17, 2, 
2019/4/5, 21, 10, 31, 20, 2, 
2019/4/6, 35, 11, 36, 17, 3, 
2019/4/7, 28, 15, 33, 24, 2, 
2019/4/8, 31, 17, 28, 23, 3, 
2019/4/9, 41, 16, 30, 20, 3, 
2019/4/10, 49, 19, 31, 23, 3, 
2019/4/11, 45, 23, 36, 23, 3, 
2019/4/12, 68, 23, 37, 25, 10, 
2019/4/13, 58, 27, 31, 25, 10, 
2019/4/14, 69, 23, 25, 18, 4, 
2019/4/15, 50, 22, 32, 16, 3, 
2019/4/16, 36, 22, 38, 15, 2, 
2019/4/17, 38, 17, 37, 14, 2, 
2019/4/18, 39, 18, 33, 16, 2, 
2019/4/19, 40, 21, 44, 16, 6, 
2019/4/20, 55, 22, 39, 18, 5, 
2019/4/21, 61, 26, 38, 13, 4, 
2019/4/22, 62, 24, 34, 15, 3, 
2019/4/23, 53, 12, 33, 11, 2, 
2019/4/24, 26, 9, 35, 9, 2, 
2019/4/25, 16, 16, 29, 22, 2, 
2019/4/26, 20, 19, 27, 27, 3, 
2019/4/27, 45, 18, 35, 18, , 
2019/4/28, 31, 20, 29, 24, 4, 
2019/4/29, 39, 20, 31, 26, 5, 
2019/4/30, 49, 14, 37, 18, 4, 
2019/5/1, 31, 15, 37, 14, 3, 
2019/5/2, 19, 13, 33, 19, 2, 
2019/5/3, 16, 11, 35, 13, 3, 
2019/5/4, 34, 11, 34, 7, 2, 
2019/5/5, 25, 16, 25, 22, 8, 
2019/5/6, 47, 30, 25, 35, 8, 
2019/5/7, 65, 22, 32, 17, 2, 
2019/5/8, 48, 20, 26, 22, 4, 
2019/5/9, 45, 27, 19, 17, 3, 
2019/5/10, 50, 19, 30, 10, 3, 
2019/5/11, 27, 18, 32, 17, 2, 
2019/5/12, 41, 20, 38, 19, 3, 
2019/5/13, 53, 26, 32, 25, 6, 
2019/5/14, 60, 27, 34, 29, 8, 
2019/5/15, 63, 31, 37, 23, 5, 
2019/5/16, 62, 20, 36, 19, , 
2019/5/17, 38, 11, 33, 9, 2, 
2019/5/18, 29, 12, 36, 10, 2, 
2019/5/19, 27, 21, 32, 16, 3, 
2019/5/20, 62, 21, 31, 13, 2, 
2019/5/21, 52, 23, 32, 18, 5, 
2019/5/22, 59, 28, 27, 17, 4, 
2019/5/23, 66, 18, 25, 14, 2, 
2019/5/24, 33, 13, 29, 8, , 
2019/5/25, 25, 12, 22, 7, 2, 
2019/5/26, 26, 14, 22, 16, 2, 
2019/5/27, 28, 16, 23, 13, 3, 
2019/5/28, 27, 15, 23, 14, 2, 
2019/5/29, 40, 21, 20, 16, 3, 
2019/5/30, 44, 23, 24, 19, 3, 
2019/5/31, 55, 23, 40, 22, 4, 
2019/6/1, 54, 24, 27, 18, 4, 
2019/6/2, 66, 22, 17, 16, 4, 
2019/6/3, 56, 20, 27, 16, 3, 
2019/6/4, 53, 16, 25, 17, 3, 
2019/6/5, 32, 16, 33, 13, 3, 
2019/6/6, 40, 14, 33, 11, 3, 
2019/6/7, 25, 16, , 13, , 
2019/6/8, 36, , , 13, , 
2019/6/9, 28, 12, 28, 17, 5, 
2019/6/10, 27, 10, 28, 14, 3, 
2019/6/11, 21, 15, 30, 12, 3, 
2019/6/12, 30, 17, 25, 13, 4, 
2019/6/13, 33, 15, 24, 16, 3, 
2019/6/14, 28, 15, 33, 10, 5, 
2019/6/15, 39, 17, 30, 9, 5, 
2019/6/16, 44, 26, 25, 12, 5, 
2019/6/17, 53, 32, 28, 16, 4, 
2019/6/18, 64, 30, 26, 17, 5, 
2019/6/19, 56, 20, 30, 17, 3, 
2019/6/20, 34, 15, 25, 12, 3, 
2019/6/21, 25, 15, 2, 11, 4, 
2019/6/22, 39, 22, 2, 14, 5, 
2019/6/23, 58, 32, 21, 17, 5, 
2019/6/24, 64, 27, 29, 15, 4, 
2019/6/25, 59, 39, 39, 14, 4, 
