date, pm25, pm10, o3, no2, so2, co
2021/3/3, 59, 63, 9, 13, 1, 3
2021/3/4, 78, 56, 21, 8, 1, 2
2021/3/5, 72, 20, 6, 4, 1, 2
2021/3/6, 39, 28, 26, 2, 1, 2
2021/3/7, 50, 20, 29, 5, 1, 2
2021/3/8, 37, 27, 28, 10, 1, 2
2021/3/9, 50, 30, 17, 11, 1, 2
2021/3/10, 58, 17, 16, 9, , 2
2021/3/11, 19, 20, 25, 9, 1, 2
2021/3/12, 28, 21, 25, 10, , 2
2021/3/13, 38, 18, 27, 6, , 2
2021/3/14, 34, 21, 26, 9, 1, 2
2021/3/15, 34, 26, 25, 7, , 2
2021/3/16, 41, 22, 23, 7, 1, 2
2021/3/17, 35, 23, 30, 7, , 2
2021/3/18, 36, 17, 29, 3, , 2
2021/3/19, 29, 21, 32, 5, 1, 2
2021/3/20, 36, 16, 32, 3, , 2
2021/3/21, 34, 22, 25, 10, 1, 3
2021/3/22, 39, 28, 34, 11, 1, 3
2021/3/23, 42, 25, 30, 9, 1, 3
2021/3/24, 50, 22, 30, 8, 1, 2
2021/3/25, 36, 20, 30, 8, , 2
2021/3/26, 28, 21, 31, 7, 1, 3
2021/3/27, 35, 26, 32, 9, 1, 3
2021/3/28, 44, 40, 13, 16, 1, 4
2021/3/29, 56, 47, 5, 16, 1, 4
2021/3/30, 70, 79, 26, 18, 2, 4
2021/3/31, 87, 78, 24, 11, 2, 4
2021/2/1, 35, 16, 19, 13, 1, 1
2021/2/2, 22, 22, 25, 12, 2, 1
2021/2/3, 30, 22, 11, 15, 2, 1
2021/2/4, 30, 22, 18, 11, 1, 1
2021/2/5, 35, 13, 27, 5, 1, 1
2021/2/6, 21, 24, 17, 9, 1, 2
2021/2/7, 55, 16, 28, 16, 2, 1
2021/2/8, 27, 14, 24, 10, 2, 1
2021/2/9, 24, 23, 18, 13, 1, 1
2021/2/10, 33, 20, 11, 13, 1, 2
2021/2/11, 32, 26, 19, 15, 1, 1
2021/2/12, 33, 29, 16, 10, , 2
2021/2/13, 45, 23, 20, 7, 1, 1
2021/2/14, 35, 26, 24, 15, 1, 2
2021/2/15, 41, 23, 27, 7, 1, 1
2021/2/16, 41, 22, 14, 12, 1, 2
2021/2/17, 44, 17, 26, 12, 1, 1
2021/2/18, 23, 31, 23, 10, 2, 1
2021/2/19, 41, 40, 26, 7, 2, 1
2021/2/20, 52, 13, 30, 4, 1, 1
2021/2/21, 25, 27, 16, 13, 1, 2
2021/2/22, 51, 22, 28, 11, 1, 2
2021/2/23, 38, 26, 24, 11, 1, 1
2021/2/24, 37, 16, 24, 12, , 1
2021/2/25, 25, 33, 11, 10, 1, 2
2021/2/26, 44, 38, 18, 5, 1, 2
2021/2/27, 49, 27, 17, 5, 1, 2
2021/2/28, 44, 39, 16, 12, 1, 2
2021/1/4, 48, 32, 1, 14, 2, 1
2021/1/5, 68, 27, 7, 9, 1, 1
2021/1/6, 67, 28, 9, 10, 1, 1
2021/1/7, 67, 26, 16, 11, 1, 1
2021/1/8, 61, 23, 24, 7, 1, 1
2021/1/9, 59, 19, 26, 3, 1, 1
2021/1/10, 41, 32, 14, 15, , 1
2021/1/11, 57, 47, 6, 18, , 2
2021/1/12, 86, 55, 3, 18, , 3
2021/1/13, 111, 62, 3, 16, , 3
2021/1/14, 124, 44, 13, 11, , 2
2021/1/15, 87, 36, 11, 9, , 2
2021/1/16, 82, 54, 4, 12, 1, 3
2021/1/17, 119, 54, 3, 15, 1, 3
2021/1/18, 100, 40, 23, 11, 1, 2
2021/1/19, 82, 19, 23, 12, 2, 1
2021/1/20, 32, 28, 26, 7, 1, 1
2021/1/21, 29, 23, 27, 14, 1, 1
2021/1/22, 34, 18, 28, 7, 1, 1
2021/1/23, 27, 20, 23, 7, 1, 1
2021/1/24, 29, 26, 5, 18, 1, 3
2021/1/25, 41, 28, 2, 13, 1, 3
2021/1/26, 35, 20, 14, 8, 1, 1
2021/1/27, 17, 32, 10, 9, 1, 1
2021/1/28, 25, 26, 20, 10, 1, 1
2021/1/29, 19, 27, 31, 4, 1, 1
2021/1/30, 36, 19, 26, 3, 1, 1
2021/1/31, 23, 31, 25, 10, 1, 1
2020/10/1, 13, 19, 24, 7, 2, 3
2020/10/2, 26, 21, 25, 7, 1, 3
2020/10/3, 28, 20, 19, 6, 2, 3
2020/10/4, 27, 28, 12, 12, 1, 3
2020/10/5, 29, 23, 17, 10, 1, 3
2020/10/6, 15, 26, 17, 10, 1, 3
2020/10/7, 18, 27, 16, 9, 1, 1
2020/10/8, 26, 23, 19, 8, 1, 1
2020/10/9, 27, 16, 23, 5, 1, 
2020/10/10, 16, 19, 29, 3, 1, 1
2020/10/11, 13, 17, 21, 6, 1, 
2020/10/12, 15, 18, 25, 7, 1, 1
2020/10/13, 13, 22, 19, 9, 1, 
2020/10/14, 24, 22, 21, 10, 1, 1
2020/10/15, 27, 25, 18, 12, 1, 1
2020/10/16, 36, 27, 20, 9, 1, 1
2020/10/17, 51, 24, 20, 10, 2, 1
2020/10/18, 34, 36, 19, 12, 2, 1
2020/10/19, 38, 23, 5, 12, 2, 1
2020/10/20, 19, 22, 8, 14, 2, 1
2020/10/21, 19, 21, 17, 9, 2, 1
2020/10/22, 23, 26, 19, 11, 1, 1
2020/10/23, 24, 18, 25, 8, 1, 1
2020/10/24, 16, 15, 25, 5, 2, 1
2020/10/25, 35, 22, 16, 9, 1, 1
